iter	Passed	Remaining
624	17275	10365
625	17302	10337
626	17330	10309
627	17356	10281
628	17381	10252
629	17407	10223
630	17432	10194
631	17457	10165
632	17483	10136
633	17510	10108
634	17536	10079
635	17560	10050
636	17585	10020
637	17608	9991
638	17634	9962
639	17661	9934
640	17685	9905
641	17710	9876
642	17734	9846
643	17757	9816
644	17783	9788
645	17809	9759
646	17834	9730
647	17859	9701
648	17883	9671
649	17906	9642
650	17932	9613
651	17956	9584
652	17985	9557
653	18011	9529
654	18037	9500
655	18066	9473
656	18094	9446
657	18119	9417
658	18148	9390
659	18174	9362
660	18204	9336
661	18231	9308
662	18259	9281
663	18289	9255
664	18321	9229
665	18353	9204
666	18379	9176
667	18409	9149
668	18436	9121
669	18464	9094
670	18494	9067
671	18528	9043
672	18559	9017
673	18588	8990
674	18617	8964
675	18649	8938
676	18676	8910
677	18704	8883
678	18731	8855
679	18758	8827
680	18784	8799
681	18808	8770
682	18834	8741
683	18861	8713
684	18885	8684
685	18911	8656
686	18937	8627
687	18963	8599
688	18989	8571
689	19016	8543
690	19040	8514
691	19068	8487
692	19092	8457
693	19117	8429
694	19145	8402
695	19168	8372
696	19192	8343
697	19219	8315
698	19246	8287
699	19274	8260
700	19302	8233
701	19331	8206
702	19361	8179
703	19388	8151
704	19422	8126
705	19448	8098
706	19472	8070
707	19498	8041
708	19522	8012
709	19548	7984
710	19575	7957
711	19600	7928
712	19632	7902
713	19662	7875
714	19686	7847
715	19711	7818
716	19736	7790
717	19761	7761
718	19785	7732
719	19810	7703
720	19836	7676
721	19860	7647
722	19886	7618
723	19914	7591
724	19941	7564
725	19964	7534
726	19987	7505
727	20010	7476
728	20037	7448
729	20063	7420
730	20090	7392
731	20115	7364
732	20139	7336
733	20162	7306
734	20186	7278
735	20211	7249
736	20235	7221
737	20261	7193
738	20288	7165
739	20315	7137
740	20345	7111
741	20374	7084
742	20401	7056
743	20429	7029
744	20463	7004
745	20495	6978
746	20526	6952
747	20554	6924
748	20581	6897
749	20616	6872
750	20644	6844
751	20671	6817
752	20698	6789
753	20726	6762
754	20754	6734
755	20782	6707
756	20809	6679
757	20835	6651
758	20862	6624
759	20890	6596
760	20919	6570
761	20945	6542
762	20975	6515
763	21003	6487
764	21030	6460
765	21057	6432
766	21083	6404
767	21109	6376
768	21133	6348
769	21158	6319
770	21183	6291
771	21209	6263
772	21235	6235
773	21258	6207
774	21285	6179
775	21308	6150
776	21335	6123
777	21361	6095
778	21386	6067
779	21411	6039
780	21436	6010
781	21462	5983
782	21488	5955
783	21518	5928
784	21548	5901
785	21575	5874
786	21607	5848
787	21638	5821
788	21672	5795
789	21699	5768
790	21726	5740
791	21751	5712
792	21776	5684
793	21803	5656
794	21830	5629
795	21855	5601
796	21878	5572
797	21904	5544
798	21930	5516
799	21958	5489
800	21982	5461
801	22007	5433
802	22034	5405
803	22058	5377
804	22082	5349
805	22107	5321
806	22131	5292
807	22157	5265
808	22181	5236
809	22207	5209
810	22231	5181
811	22259	5153
812	22285	5126
813	22313	5098
814	22342	5071
815	22371	5044
816	22398	5017
817	22430	4990
818	22456	4962
819	22485	4935
820	22512	4908
821	22542	4881
822	22576	4855
823	22604	4828
824	22634	4801
825	22662	4773
826	22691	4746
827	22718	4719
828	22747	4692
829	22777	4665
830	22806	4638
831	22834	4610
832	22860	4583
833	22892	4556
834	22921	4529
835	22949	4502
836	22975	4474
837	23004	4447
838	23031	4419
839	23056	4391
840	23081	4363
841	23105	4335
842	23130	4307
843	23157	4280
844	23184	4252
845	23212	4225
846	23237	4197
847	23263	4169
848	23288	4141
849	23314	4114
850	23343	4087
851	23369	4059
852	23392	4031
853	23418	4003
854	23443	3975
855	23468	3947
856	23494	3920
857	23518	3892
858	23543	3864
859	23569	3836
860	23594	3809
861	23622	3781
862	23647	3753
863	23670	3725
864	23694	3697
865	23721	3670
866	23749	3643
867	23778	3616
868	23810	3589
869	23843	3562
870	23869	3535
871	23896	3507
872	23924	3480
873	23950	3452
874	23974	3424
875	24000	3397
876	24026	3369
877	24052	3342
878	24076	3314
879	24099	3286
880	24125	3258
881	24151	3231
882	24174	3203
883	24198	3175
884	24224	3147
885	24249	3120
886	24275	3092
887	24306	3065
888	24329	3037
889	24353	3010
890	24376	2982
891	24399	2954
892	24424	2926
893	24448	2898
894	24473	2871
895	24500	2843
896	24523	2815
897	24546	2788
898	24571	2760
899	24600	2733
900	24629	2706
901	24655	2678
902	24683	2651
903	24706	2623
904	24731	2596
905	24756	2568
906	24786	2541
907	24813	2514
908	24843	2487
909	24879	2460
910	24913	2433
911	24940	2406
912	24972	2379
913	25005	2352
914	25041	2326
915	25074	2299
916	25103	2272
917	25129	2244
918	25156	2217
919	25187	2190
920	25218	2163
921	25246	2135
922	25273	2108
923	25299	2080
924	25327	2053
925	25354	2026
926	25384	1999
927	25411	1971
928	25438	1944
929	25470	1917
930	25505	1890
931	25536	1863
932	25562	1835
933	25587	1808
934	25614	1780
935	25641	1753
936	25667	1725
937	25693	1698
938	25720	1670
939	25746	1643
940	25769	1615
941	25793	1588
942	25818	1560
943	25845	1533
944	25870	1505
945	25896	1478
946	25922	1450
947	25948	1423
948	25974	1395
949	26005	1368
950	26035	1341
951	26065	1314
952	26100	1287
953	26126	1259
954	26154	1232
955	26180	1204
956	26205	1177
957	26233	1150
958	26259	1122
959	26283	1095
960	26307	1067
961	26331	1040
962	26357	1012
963	26382	985
964	26406	957
965	26430	930
966	26456	902
967	26482	875
968	26508	848
969	26536	820
970	26562	793
971	26588	765
972	26616	738
973	26642	711
974	26668	683
975	26691	656
976	26714	628
977	26740	601
978	26765	574
979	26789	546
980	26815	519
981	26840	491
982	26865	464
983	26891	437
984	26917	409
985	26943	382
986	26971	355
987	26998	327
988	27026	300
989	27059	273
990	27090	246
991	27117	218
992	27145	191
993	27173	164
994	27204	136
995	27232	109
996	27257	82
997	27286	54
998	27314	27
999	27343	0
