Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-03-23,2016,3,23,Wednesday,12,2016-12,73.18,73.75,72.63,73.51,1828700,53.85,0.007538538794587435,53.18857142857143,51.418800000000005
2016-03-24,2016,3,24,Thursday,12,2016-12,73.51,73.59,73.03,73.42,1594600,53.79,-0.0012243428312934679,53.33571428571429,51.4952
2016-03-28,2016,3,28,Monday,13,2016-13,73.64,74.04,73.0,73.15,1977000,53.59,-0.0036774601290512354,53.43714285714286,51.565799999999996
2016-03-29,2016,3,29,Tuesday,13,2016-13,73.47,74.7,73.09,74.64,2752800,54.68,0.02036905924091026,53.589999999999996,51.6488
2016-03-30,2016,3,30,Wednesday,13,2016-13,74.79,74.9,74.1,74.75,1958600,54.76,0.0014738418192257186,53.72857142857142,51.744800000000005
2016-03-31,2016,3,31,Thursday,13,2016-13,74.54,75.18,74.31,75.12,2717800,55.03,0.004949811192445752,53.91285714285715,51.8316
2016-04-01,2016,4,1,Friday,13,2016-13,74.78,75.5,74.36,75.39,2347700,55.23,0.003594306671468983,54.07857142857142,51.9392
2016-04-04,2016,4,4,Monday,14,2016-14,75.22,75.22,74.29,74.58,2013700,54.64,-0.010744232628816186,54.19642857142857,52.0386
2016-04-05,2016,4,5,Tuesday,14,2016-14,73.6,73.74,72.14,73.05,7976200,53.51,-0.020514863209458944,54.19928571428572,52.097
2016-04-06,2016,4,6,Wednesday,14,2016-14,72.89,73.23,72.34,72.75,4226800,53.3,-0.004106675623593015,54.15714285714286,52.154
2016-04-07,2016,4,7,Thursday,14,2016-14,72.62,73.23,72.54,72.97,2336400,53.46,0.003023975859728356,54.075,52.21200000000001
2016-04-08,2016,4,8,Friday,14,2016-14,73.24,73.5,72.83,73.04,2416600,53.51,0.0009593057546428696,54.05285714285714,52.270999999999994
2016-04-11,2016,4,11,Monday,15,2016-15,73.1,73.59,72.83,72.87,2627600,53.38,-0.002327560676772089,54.01285714285715,52.3096
